운행일자,상행하행구분코드,열차종별코드,운행구분코드,시발역코드,열차시발시각,종착역코드,열차종착시각,열차속성코드,주운행성코드,요일
2019-06-24,하,KTX,현시각,서울,00:45:00,인천공항T2,02:00:00,일반,공항철도,월요일
2019-06-24,상,KTX,현시각,인천공항T2,02:30:00,고양기지,03:50:00,일반,고양기지선,월요일
2019-07-09,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,화요일
2019-07-09,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,화요일
2019-07-09,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,화요일
2019-07-09,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,화요일
2019-07-09,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,화요일
2019-07-09,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,화요일
2019-07-09,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,화요일
2019-07-10,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,수요일
2019-07-10,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,수요일
2019-07-10,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,수요일
2019-07-10,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,수요일
2019-07-10,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,수요일
2019-07-10,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,수요일
2019-07-10,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,수요일
2019-07-11,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,목요일
2019-07-11,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,목요일
2019-07-11,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,목요일
2019-07-11,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,목요일
2019-07-11,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,목요일
2019-07-11,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,목요일
2019-07-11,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,목요일
2019-07-12,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,금요일
2019-07-12,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,금요일
2019-07-12,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,금요일
2019-07-12,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,금요일
2019-07-12,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,금요일
2019-07-12,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,금요일
2019-07-12,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,금요일
2019-07-13,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,토요일
2019-07-13,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,토요일
2019-07-13,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,토요일
2019-07-13,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,토요일
2019-07-13,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,토요일
2019-07-13,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,토요일
2019-07-13,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,토요일
2019-07-14,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,일요일
2019-07-14,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,일요일
2019-07-14,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,일요일
2019-07-14,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,일요일
2019-07-14,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,일요일
2019-07-14,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,일요일
2019-07-14,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,일요일
2019-07-15,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,월요일
2019-07-15,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,월요일
2019-07-15,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,월요일
2019-07-15,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,월요일
2019-07-15,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,월요일
2019-07-15,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,월요일
2019-07-15,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,월요일
2019-07-16,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,화요일
2019-07-16,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,화요일
2019-07-16,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,화요일
2019-07-16,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,화요일
2019-07-16,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,화요일
2019-07-16,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,화요일
2019-07-16,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,화요일
2019-07-17,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,수요일
2019-07-17,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,수요일
2019-07-17,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,수요일
2019-07-17,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,수요일
2019-07-17,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,수요일
2019-07-17,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,수요일
2019-07-17,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,수요일
2019-07-18,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,목요일
2019-07-18,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,목요일
2019-07-18,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,목요일
2019-07-18,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,목요일
2019-07-18,하,KTX,정기,인천공항T2,17:33:00,광주송정,20:28:00,일반,호남선,목요일
2019-07-18,상,KTX,정기,광주송정,18:25:00,인천공항T2,21:17:00,일반,호남선,목요일
2019-07-18,하,KTX,정기,인천공항T2,20:17:00,광주송정,23:03:00,일반,호남선,목요일
2019-07-19,상,KTX,정기,목포,10:03:00,인천공항T2,13:17:00,일반,호남선,금요일
2019-07-19,하,KTX,정기,인천공항T2,09:28:00,목포,13:01:00,일반,호남선,금요일
2019-07-19,상,KTX,정기,목포,12:58:00,인천공항T2,16:31:00,일반,호남선,금요일
2019-07-19,하,KTX,정기,인천공항T2,13:57:00,목포,17:25:00,일반,호남선,금요일
